colonia,colonia,dis,totaldistancia
TESI,Hornos San Juan,1.3217789924072025,1.3217789924072025
Hornos San Juan,Geovillas Jesús María,0.43966350511262403,1.7614424975198266
Geovillas Jesús María,La Venta,2.274987191417387,4.036429688937214
La Venta,Luis Donaldo Colosio,6.138886108731104,10.175315797668318
Luis Donaldo Colosio,Tejolote,2.940130641287114,13.115446438955432
Tejolote,Ilhuicamina,2.943584009891412,16.059030448846844
Ilhuicamina,Cerro de Moctezuma,2.8136937392573445,18.87272418810419
Cerro de Moctezuma,Melchor Ocampo,0.9965230627825181,19.86924725088671
Melchor Ocampo,Rancho El Carmen,3.1286568411350784,22.997904092021788
Rancho El Carmen,Geovillas de Ayotla,0.22672440695040466,23.22462849897219
Geovillas de Ayotla,Santo Tomás,1.50804751940244,24.73267601837463
Santo Tomás,El Capulín,0.41102598750019803,25.14370200587483
El Capulín,Escalerillas,0.5372144025850324,25.68091640845986
Escalerillas,Citlalmina y Ampliación Santa Cruz. La Era,2.5871361892381417,28.268052597698002
Citlalmina y Ampliación Santa Cruz. La Era,Residencial Ayotla,1.4194407010403218,29.687493298738325
Residencial Ayotla,Rigoberta Menchú,1.5353423059773974,31.222835604715723
Rigoberta Menchú,Tlacaelel,0.5092852851400311,31.732120889855754
Tlacaelel,Teponaxtle,10.882007760290001,42.61412865014576
Teponaxtle,Valle Verde,8.100836950747548,50.71496560089331
Valle Verde,Vergel de Guadalupe,2.1970736146957983,52.912039215589104
Vergel de Guadalupe,Plutarco Elías Calles,3.7482096601478583,56.66024887573696
Plutarco Elías Calles,Ampliación San Francisco,4.291907725646127,60.95215660138309
Ampliación San Francisco,El Contadero,5.401368157433301,66.35352475881639
El Contadero,Margarita Morán,1.8568721211617993,68.21039687997819
Margarita Morán,Tlayehuale,3.705565982174708,71.9159628621529
Tlayehuale,Ampliación Loma Bonita,2.4872174656718595,74.40318032782476
Ampliación Loma Bonita,Los Héroes,4.50901918612981,78.91219951395456
Los Héroes,Geovillas de San Jacinto,2.2866652865777177,81.19886480053228
Geovillas de San Jacinto,San José de la Palma,1.102559887847155,82.30142468837943
San José de la Palma,TESI,0.5333444059985698,82.834769094378
TESI,San Antonio,6.922376334727888,6.922376334727888
San Antonio,Ilhuicamina,1.3454790900841456,8.267855424812034
Ilhuicamina,Geovillas de Ayotla,0.7992257722802817,9.067081197092316
Geovillas de Ayotla,Ampliación Loma Bonita,1.9978619535842113,11.064943150676527
Ampliación Loma Bonita,Jorge Jiménez Cantú,7.646401122768425,18.71134427344495
Jorge Jiménez Cantú,La Cañada,0.7729359401786212,19.48428021362357
La Cañada,Plutarco Elías Calles,6.383818156245655,25.868098369869227
Plutarco Elías Calles,Tlacaelel,4.509967844170301,30.378066214039528
Tlacaelel,Hornos San Juan,5.471792945166366,35.84985915920589
Hornos San Juan,TESI,1.3217789924072025,37.171638151613095
TESI,Hornos Santa Bárbara,2.1969466097971746,39.36858476141027
Hornos Santa Bárbara,Santa Cruz,0.7860989526106016,40.15468371402087
Santa Cruz,Citlalmina y Ampliación Santa Cruz. La Era,3.7029865097342936,43.857670223755164
Citlalmina y Ampliación Santa Cruz. La Era,Arboladas,4.5846286602529025,48.44229888400807
Arboladas,Geovillas Jesús María,2.032624540982596,50.47492342499066
Geovillas Jesús María,Lomas de Ayotla,4.639424141430386,55.114347566421046
Lomas de Ayotla,La Venta,5.199474634251849,60.313822200672895
La Venta,Rincón del Bosque,5.090877238954012,65.40469943962691
Rincón del Bosque,Residencial Ayotla,0.7724079563964649,66.17710739602337
Residencial Ayotla,El Mirador,2.5248033397581318,68.70191073578151
El Mirador,San Buenaventura,5.6679743558401725,74.36988509162168
San Buenaventura,Cerro de Moctezuma,4.989579826820576,79.35946491844226
Cerro de Moctezuma,El Contadero,2.291453503316585,81.65091842175885
El Contadero,Tlayehuale,2.7819188198105747,84.43283724156942
Tlayehuale,Geovillas de San Jacinto,1.2116289453830462,85.64446618695246
Geovillas de San Jacinto,Rancho Verde,8.652731882662858,94.29719806961532
Rancho Verde,Melchor Ocampo,8.296133201961736,102.59333127157706
Melchor Ocampo,Rancho El Carmen,3.1286568411350784,105.72198811271214
Rancho El Carmen,TESI,5.861041055190091,111.58302916790223
