Colonia,Latitud,Longitud,
TESI,19.313497,-98.884283,1
Tejolote,19.31826346,-98.90956193,2
Plutarco Elías Calles,19.32842144,-98.8960438,3
Tlayehuale,19.32069981,-98.89473537,4
Jorge Jiménez Cantú,19.30957852,-98.84643082,5
Rincón del Bosque,19.31953365,-98.92809213,6
Ampliación Emiliano Zapata,19.31122519,-98.93627447,7
Loma Bonita,19.3146591,-98.91816589,8
Fraccionamiento José de La Mora,19.30690734,-98.91947259,9
Fraccionamiento Izcalli Ixtalapuca,19.32246585,-98.93479844,10
Santa Cruz,19.30983248,-98.90966129,11
Valle Verde,19.31186933,-98.91504686,12
Alfredo del Mazo,19.30004951,-98.90613836,13
El Molino,19.29499649,-98.89768457,14
Citlalmina y Ampliación Santa Cruz. La Era,19.32634194,-98.94030728,15
La Venta,19.30721903,-98.88141957,16
Santa Bárbara,19.31443846,-98.89234196,17
Hornos Santa Bárbara,19.31545074,-98.90508632,18
La Magdalena,19.32204636,-98.90168722,19
Zoquiapan,19.31204971,-98.87693996,20
Ampliación Zoquiapan,19.31129607,-98.9362852,21
Hornos San Juan,19.32509351,-98.88728081,22
Margarita Morán,19.33573263,-98.92624262,23
Cerro de Moctezuma,19.32077128,-98.9097601,24
San Antonio,19.33110142,-98.94749137,25
Luis Donaldo Colosio,19.32728972,-98.93587476,26
Tlacaelel,19.33282678,-98.9387106,27
Ilhuicamina,19.32989649,-98.9347504,28
La Retama,19.32174782,-98.93011468,29
F. Álvarez,19.31549999,-98.92542496,30
Santo Tomás,19.32062223,-98.92296928,31
TESI,19.313497,-98.884283,1
Ampliación Loma Bonita,19.31982248,-98.91838506,2
Rigoberta Menchú,19.32874879,-98.9364668,3
20 de noviembre,19.29219207,-98.9107837,4
El Capulín,19.32052695,-98.91905934,5
El Mirador,19.32793637,-98.91391033,6
Escalerillas,19.32425491,-98.91578634,7
Melchor Ocampo,19.32975326,-98.91039754,8
Ampliación San Francisco,19.34315464,-98.85826305,9
Ampliación Tejalpa,19.31122519,-98.93624229,10
Juan Antonio Soberanes,19.34259047,-98.85084828,11
Pueblo Nuevo,19.38346639,-98.8188364,12
Rancho Verde,19.38104957,-98.85283061,13
Teponaxtle,19.30999504,-98.83799098,14
Rancho El Carmen,19.32265058,-98.93921469,15
Rancho Guadalupe,19.32394693,-98.93622461,16
Vergel de Guadalupe,19.32419529,-98.93143323,17
Residencial Ayotla,19.31511529,-98.93378083,18
Geovillas de Ayotla,19.32302785,-98.93709412,19
San José de la Palma,19.3134334,-98.87920848,20
San Jerónimo 4 vientos,19.29526615,-98.8383723,21
Los Héroes,19.32746833,-98.87624014,22
San Buenaventura,19.30803279,-98.86421762,23
Geovillas de San Jacinto,19.31100518,-98.88938311,24
Geovillas Jesús María,19.32761831,-98.88405105,25
Arboladas,19.31519231,-98.89829156,26
Lomas de Ayotla,19.32317829,-98.92795159,27
La Cañada,19.30776143,-98.83932967,28
El Contadero,19.34147136,-98.90963742,29
La Rosa de San Francisco,19.33727882,-98.86571367,30
TESI,19.313497,-98.884283,31
